-0.025906-0.10103i,0.031648+0.11631i,-0.041155-0.14191i,0.060751+0.19683i,-0.13496-0.4216i,-0.16249-0.56917i,-0.0029409+0.12309i,0.42132-0.23812i,0.084898-0.032882i,-0.046279+0.011621i,0.01368-0.19026i,-0.015599+0.10663i,0.010927-0.10823i
0.030088+0.077354i,-0.030594-0.091417i,0.030462+0.11584i,-0.028287-0.17021i,0.013738+0.40074i,-0.087962+0.64089i,0.055947-0.19161i,-0.032303+0.55572i,0.060942+0.03972i,-0.060337+0.0060922i,0.07338+0.16391i,-0.072456-0.073469i,0.077754+0.069232i
-0.010777-0.045987i,0.0051323+0.058195i,0.0055305-0.079981i,-0.03014+0.12933i,0.13245-0.33934i,0.30251-0.6019i,-0.077257+0.18168i,-0.36359-0.26583i,-0.16359+0.052881i,0.12347-0.077693i,-0.11448-0.095329i,0.11113+0.0029423i,-0.11272+0.0054433i
-0.018036+0.021272i,0.028342-0.030943i,-0.046848+0.048364i,0.088378-0.087623i,-0.26049+0.25102i,-0.48503+0.45809i,0.12344-0.11339i,0.22347-0.25699i,0.14049-0.15271i,-0.10532+0.14071i,0.085865+0.04011i,-0.083763+0.050751i,0.081788-0.060421i
0.041267-0.0047136i,-0.053898+0.010169i,0.076387-0.020099i,-0.12714+0.042459i,0.34223-0.13411i,0.61973-0.25343i,-0.19039+0.051505i,0.30806+0.36852i,-0.03828+0.14478i,0.041934-0.1311i,-0.022256-0.04814i,0.026021-0.043444i,-0.022791+0.053812i
-0.051298-0.0077042i,0.064664+0.008063i,-0.088421-0.0083482i,0.14224+0.0082308i,-0.37272-0.0049358i,-0.67161+0.027165i,0.2212-0.021173i,-0.58407+0.043208i,-0.015741-0.023935i,-0.0094466+0.051723i,-0.013713+0.11386i,0.0042186-0.017606i,-0.0073936+0.0056727i
0.046177+0.019316i,-0.059228-0.025436i,0.082339+0.035881i,-0.13423-0.057978i,0.35316+0.14338i,0.62265+0.20301i,-0.18428-0.013313i,0.26413-0.42634i,-0.042321-0.093423i,0.0447+0.026407i,-0.0074317-0.17857i,0.019663+0.07815i,-0.016908-0.064811i
-0.027057-0.033634i,0.038049+0.043886i,-0.057568-0.06176i,0.10099+0.10083i,-0.27984-0.25922i,-0.49234-0.41765i,0.11634+0.084268i,0.26066+0.26273i,0.14011+0.096764i,-0.10644-0.035459i,0.052997+0.18601i,-0.068277-0.086078i,0.067432+0.072413i
0.0010532+0.054931i,-0.0074845-0.067719i,0.019305+0.090062i,-0.046128-0.13965i,0.15685+0.34709i,0.3146+0.57425i,-0.073374-0.1606i,-0.35471+0.27624i,-0.15284-0.0016762i,0.12015-0.021671i,-0.061752-0.13508i,0.085034+0.038117i,-0.088547-0.023597i
0.017295-0.081755i,-0.016987+0.096474i,0.015656-0.12171i,-0.011165+0.17706i,-0.012479-0.40839i,-0.10281-0.62728i,0.054474+0.17609i,-0.068163-0.53431i,0.04534-0.074745i,-0.056556+0.079715i,0.0045615+0.076736i,-0.03937+0.020538i,0.047389-0.038635i
-0.053608+0.063057i,0.06278-0.075947i,-0.077838+0.098232i,0.10894-0.14729i,-0.22891+0.35154i,-0.26693+0.55503i,0.010118-0.14932i,0.41051+0.29191i,0.07546+0.016302i,-0.044975-0.034354i,-0.071219-0.097606i,0.027811+0.013583i,-0.031498+0.00080426i
0.050081-0.081524i,-0.062431+0.09368i,0.083635-0.1134i,-0.12949+0.1538i,0.31444-0.3096i,0.47626-0.34055i,-0.088362+0.015755i,-0.31047+0.31124i,-0.11417+0.015629i,0.083502+0.045788i,0.025686+0.076826i,0.01469+0.018183i,-0.01211-0.039775i
-0.017634+0.069217i,0.029525-0.077386i,-0.05147+0.089816i,0.10238-0.1133i,-0.32201+0.19535i,-0.66575+0.11769i,0.22361+0.062954i,-0.27808-0.51398i,0.097223-0.013837i,-0.10813-0.056801i,0.02097-0.068726i,-0.067056-0.029138i,0.072443+0.051453i
-0.013532-0.017654i,0.0032494+0.018256i,0.017095-0.01855i,-0.067097+0.017638i,0.29313-0.0083562i,0.75487+0.063366i,-0.31035-0.045695i,0.67758+0.095789i,-0.089402-0.038229i,0.13001+0.067297i,-0.061838+0.078966i,0.11195+0.010291i,-0.12422-0.024177i
0.016417-0.050649i,-0.0067843+0.058472i,-0.012251-0.071249i,0.058771+0.097512i,-0.26698-0.19824i,-0.68755-0.21536i,0.27051-0.0023946i,-0.42132+0.415i,0.12578+0.075318i,-0.14699-0.055489i,0.081615-0.11494i,-0.12594+0.037817i,0.1374-0.035893i
0.009658+0.099893i,-0.019118-0.11348i,0.036444+0.13542i,-0.075993-0.18031i,0.24212+0.35375i,0.48294+0.37199i,-0.13405-0.0098576i,-0.18707-0.38801i,-0.15152-0.03788i,0.12828+0.013438i,-0.056075+0.16654i,0.0874-0.094296i,-0.091271+0.099439i
-0.041285-0.10884i,0.048872+0.12419i,-0.061386-0.14956i,0.087228+0.20327i,-0.18613-0.42038i,-0.21693-0.52885i,0.00086027+0.096128i,0.45039-0.14579i,0.08655-0.037572i,-0.048875+0.023873i,-0.022068-0.19708i,0.0013538+0.11974i,-0.0051274-0.12356i
0.053271+0.082817i,-0.056183-0.097198i,0.059781+0.12199i,-0.064931-0.17683i,0.077616+0.40819i,-0.040643+0.63463i,0.065883-0.18387i,-0.1228+0.54476i,0.061001+0.048478i,-0.064495-0.0046115i,0.11846+0.16945i,-0.10025-0.083633i,0.10627+0.081125i
-0.037601-0.042688i,0.034359+0.055156i,-0.027309-0.077564i,0.0095915+0.12866i,0.067499-0.34749i,0.26404-0.63798i,-0.090085+0.20222i,-0.31243-0.3489i,-0.17941+0.049492i,0.1401-0.079014i,-0.17185-0.088168i,0.15143-0.0023765i,-0.15454+0.010797i
0.0037268+0.0065285i,0.0048204-0.016388i,-0.020702+0.034688i,0.057185-0.076971i,-0.21017+0.2565i,-0.45269+0.5326i,0.12711-0.1564i,0.26208-0.16571i,0.16836-0.17456i,-0.1264+0.16724i,0.14541+0.0085899i,-0.1249+0.082943i,0.1237-0.094734i
0.033449+0.018206i,-0.045355-0.01247i,0.066678+0.0012547i,-0.11494+0.025389i,0.31943-0.13896i,0.5925-0.35224i,-0.1817+0.10359i,0.2354+0.34676i,-0.05399+0.19867i,0.047506-0.18376i,-0.064251+0.0067778i,0.047609-0.10055i,-0.043109+0.11443i
-0.062199-0.0308i,0.075974+0.030669i,-0.10011-0.029299i,0.15414+0.024113i,-0.38348+0.0039248i,-0.65147+0.13181i,0.20369-0.071494i,-0.56307+0.015864i,-0.035428-0.089533i,0.017005+0.11223i,-0.0044999+0.053949i,0.017299+0.045213i,-0.024341-0.060842i
0.074111+0.033176i,-0.088645-0.038569i,0.11363+0.047184i,-0.16839-0.064227i,0.39578+0.12583i,0.61261+0.11137i,-0.16075+0.027984i,0.30086-0.43147i,0.010834-0.050547i,-0.01142-0.014499i,0.013643-0.14002i,-0.025339+0.036432i,0.034346-0.020506i
-0.063921-0.031429i,0.077253+0.040667i,-0.099938-0.056657i,0.14869+0.091292i,-0.34495-0.23009i,-0.49613-0.35638i,0.088325+0.060936i,0.24424+0.32876i,0.08135+0.096652i,-0.042299-0.031517i,0.022181+0.18606i,-0.01226-0.08334i,0.0037657+0.069281i
0.034937+0.035942i,-0.044082-0.047391i,0.059808+0.067807i,-0.09367-0.11381i,0.22857+0.30792i,0.338+0.55524i,-0.047991-0.16524i,-0.41488+0.2188i,-0.11832-0.035048i,0.073457+0.0073479i,-0.046467-0.17127i,0.04436+0.072605i,-0.040538-0.060294i
-0.0028395-0.052727i,0.005527+0.06598i,-0.010575-0.089446i,0.022378+0.14237i,-0.073064-0.36793i,-0.15162-0.6509i,0.046191+0.20998i,0.021662-0.56876i,0.043288-0.033847i,-0.039552+0.037163i,0.019077+0.13078i,-0.030182-0.032767i,0.033051+0.018667i
