0.0052151-0.0049831i,-0.0020334+0.0040546i,-0.0037923-0.0023245i,0.016151-0.0012806i,-0.05295+0.011427i,0.78932-0.1962i,0.12799-0.026894i,-0.070935-0.0017758i,-0.10709+0.35375i,-0.10518+0.088286i,0.122-0.082824i,0.17871-0.12076i,0.017578-0.00088926i
0.00016881+0.013416i,0.0032591-0.015445i,-0.0093029+0.018551i,0.021704-0.024253i,-0.057521+0.039703i,0.75568-0.34014i,0.10917-0.036737i,-0.047463+0.024971i,-0.26565-0.25877i,-0.11444-0.056387i,0.12088+0.062922i,0.1911+0.12263i,0.002042+0.0068707i
-0.0051487-0.015618i,0.0026651+0.018842i,0.0019227-0.023956i,-0.011653+0.033615i,0.040331-0.060109i,-0.60316+0.57088i,-0.093275+0.065799i,0.039591-0.035265i,0.31893+0.18533i,0.12638+0.032302i,-0.13436-0.042519i,-0.1962-0.09771i,-0.018041-0.012011i
0.011655+0.014858i,-0.010509-0.018781i,0.0080143+0.025177i,-0.0021639-0.037536i,-0.016106+0.071947i,0.38266-0.73757i,0.070284-0.090662i,-0.030119+0.045501i,-0.35188-0.10442i,-0.1341-0.0018404i,0.14559+0.013846i,0.1961+0.082082i,0.039343-0.0012074i
-0.0074895-0.0056038i,0.00957+0.0097373i,-0.013012-0.016604i,0.019751+0.029883i,-0.038661-0.066055i,0.40361+0.73601i,0.048837+0.085951i,-0.018535-0.018103i,-0.10108-0.37189i,-0.043323-0.07672i,0.05314+0.015228i,0.13473-0.30544i,-0.0070517+0.090191i
0.010324+0.0028086i,-0.013684-0.0060317i,0.01921+0.011401i,-0.029914-0.021773i,0.059508+0.049873i,-0.62178-0.56542i,-0.073045-0.06535i,0.023791+0.010267i,0.18678+0.33855i,0.060149+0.063588i,-0.056873-0.0034679i,-0.096453+0.31646i,0.0059463-0.087318i
-0.011416+0.0022464i,0.015628-0.00040321i,-0.022567-0.0027559i,0.035993+0.0089596i,-0.07298-0.025808i,0.77176+0.33117i,0.090485+0.040341i,-0.027425-0.0034935i,-0.26087-0.28281i,-0.075234-0.050554i,0.060602-0.0042143i,0.053854-0.32991i,0.0012277+0.098016i
0.0092232-0.0078586i,-0.013667+0.0076112i,0.021079-0.0070138i,-0.035561+0.0056473i,0.075697-0.0018434i,-0.83527-0.060445i,-0.10157-0.011484i,0.031489-0.003859i,0.3162+0.21069i,0.091311+0.034678i,-0.06867+0.012377i,-0.0011294+0.33858i,-0.025345-0.1103i
-0.0038932+0.011587i,0.0079378-0.012832i,-0.014851+0.0147i,0.028632-0.018117i,-0.067372+0.027504i,0.80551-0.21465i,0.10496-0.021315i,-0.035187+0.014536i,-0.35013-0.13055i,-0.10673-0.011522i,0.079558-0.027635i,-0.059201-0.33246i,0.063765+0.10748i
-0.0026953-0.011735i,-0.00048412+0.014118i,0.0061269-0.017987i,-0.0177+0.025496i,0.050859-0.046659i,-0.68792+0.46252i,-0.097702+0.056593i,0.035012-0.029567i,0.36466+0.049389i,0.11571-0.020693i,-0.086237+0.053289i,0.11683+0.30615i,-0.10123-0.080157i
0.0080073+0.0083889i,-0.005914-0.011461i,0.0019996+0.016687i,0.0063095-0.027202i,-0.030566+0.057515i,0.49814-0.65675i,0.077215-0.090032i,-0.027052+0.046505i,-0.36375+0.02958i,-0.11179+0.058515i,0.080514-0.085994i,-0.15968-0.26351i,0.11947+0.033448i
