0.0011024+0.025131i,-0.0018234-0.031668i,0.0032138+0.041606i,-0.0061814-0.058491i,0.013884+0.093596i,-0.046541-0.21402i,-0.28359-0.81492i,0.085135+0.12146i,-0.12117-0.014537i,-0.19063+0.2362i,0.029808-0.093562i,-0.0076797+0.069033i,0.19627+0.081541i
-0.0024689-0.026954i,0.0034367+0.033726i,-0.0051497-0.043973i,0.0085532+0.061278i,-0.01687-0.096992i,0.050398+0.21839i,0.27669+0.80933i,-0.075192-0.11204i,0.09628-0.008801i,0.13208-0.29053i,-0.015869+0.10664i,8.925e-05-0.076917i,0.025492-0.17999i
0.0039821+0.028294i,-0.0052541-0.035224i,0.0073649+0.045677i,-0.011307-0.063264i,0.020385+0.099385i,-0.055013-0.22144i,-0.26863-0.80561i,0.06322+0.10573i,-0.065982+0.024185i,-0.060112+0.32541i,-0.0014552-0.11463i,0.0095918+0.0811i,-0.23242+0.044154i
-0.0054927-0.028774i,0.0070944+0.035766i,-0.0096371-0.0463i,0.014165+0.063998i,-0.024073-0.10028i,0.059909+0.22262i,0.2601+0.80441i,-0.050328-0.10338i,0.032984-0.029947i,-0.019375-0.33829i,0.021048+0.11738i,-0.021307-0.082002i,0.2287+0.1962i
0.0070591+0.02823i,-0.0089895-0.035175i,0.011962+0.04565i,-0.017074-0.063272i,0.02781+0.099454i,-0.064852-0.22165i,-0.25152-0.80607i,0.037387+0.10545i,0.00013769+0.025319i,0.099435+0.32844i,-0.041023-0.11515i,0.033813+0.080558i,-0.025419-0.307i
-0.0087519-0.026846i,0.010988+0.033641i,-0.014361-0.043922i,0.020013+0.061283i,-0.031511-0.0971i,0.069655+0.21876i,0.24326+0.81035i,-0.025175-0.11165i,-0.030931-0.010783i,-0.17287-0.29663i,0.059127+0.10816i,-0.045054-0.077133i,-0.17091+0.17905i
0.010421+0.025062i,-0.012917-0.031622i,0.016628+0.041598i,-0.022734-0.058548i,0.03487+0.093782i,-0.07392-0.21457i,-0.23589-0.81653i,0.014647+0.12104i,0.056898-0.011998i,0.23329+0.24508i,-0.073525-0.096437i,0.053359+0.071184i,0.16121+0.06506i
-0.0002949-0.020592i,-0.00081048+0.025779i,0.0026366-0.033919i,-0.0060642+0.048323i,0.014108-0.079854i,-0.045906+0.19499i,-0.26454+0.84995i,0.075546-0.17621i,-0.10713+0.16057i,-0.18755+0.13101i,0.040925-0.0012571i,-0.026307-0.009001i,0.049688+0.25191i
-0.0018738+0.017736i,0.003279-0.022662i,-0.0054951+0.03047i,0.009452-0.044433i,-0.018262+0.075347i,0.051315-0.18952i,0.25848-0.85661i,-0.064472+0.18647i,0.079901-0.1837i,0.12576-0.17882i,-0.02684+0.011052i,0.01903+0.0045196i,0.17468-0.15206i
0.0045074-0.015893i,-0.0062571+0.02065i,0.0089217-0.028244i,-0.013488+0.041925i,0.02318-0.072443i,-0.057673+0.186i,-0.25114+0.86072i,0.051382-0.19287i,-0.047713+0.19783i,-0.052176+0.2069i,0.0096871-0.016297i,-0.0094049-0.002889i,-0.2096-0.086874i
