0.0015515-0.032427i,0.0042214+0.034524i,-0.024807-0.039965i,0.66901+0.19228i,0.096647-0.011368i,-0.081289+0.013807i,0.13164+5.3069e-05i,0.0066917+0.016105i,0.069583+0.031589i,-0.27786-0.3084i,-0.15526-0.32136i,0.043757+0.18299i,0.17868-0.0011307i
-0.010346+0.017963i,0.012552-0.026512i,-0.016093+0.050959i,0.052706-0.71637i,-0.017733-0.063397i,0.025258+0.039031i,-0.032751-0.076767i,0.063457-0.088155i,-0.1089+0.069626i,0.41182-0.22632i,0.25419-0.14548i,-0.093245+0.069509i,-0.010526-0.29786i
0.029494+0.013897i,-0.03748-0.012421i,0.060889+0.0085004i,-0.71999+0.079905i,-0.056474+0.019755i,0.036471-0.01205i,-0.081936+0.0057016i,-0.067302+0.019126i,0.0057492-0.062503i,0.12884+0.37432i,0.16204+0.34088i,-0.0978-0.19515i,-0.0081077+0.40753i
0.03603-0.0039293i,-0.037038+0.011345i,0.033939-0.033785i,0.16537+0.66674i,0.081729+0.077521i,-0.083474-0.056193i,0.10397+0.096217i,-0.10138+0.062264i,0.16544-0.033617i,-0.50376+0.12055i,-0.22085+0.088358i,0.034516-0.035028i,0.23956-0.11072i
-0.020507+0.034612i,0.027726-0.041119i,-0.048734+0.055777i,0.63443-0.37558i,0.054643+0.010902i,-0.036278-0.030867i,0.078119+0.032691i,0.069211-0.10132i,-0.021666+0.14359i,-0.036763-0.48222i,-0.093305-0.27022i,0.080191+0.096717i,-0.34129-0.083667i
-0.036097+0.023464i,0.034678-0.030455i,-0.024127+0.049788i,-0.3865-0.56985i,-0.10902-0.03993i,0.1032+0.022466i,-0.13286-0.060272i,0.093773-0.085161i,-0.16841+0.051211i,0.51835-0.067007i,0.23927+0.033324i,-0.062464-0.056237i,0.2017+0.24539i
-0.0084841-0.039433i,0.0041835+0.048257i,0.010273-0.069703i,-0.44462+0.57704i,-0.069456+0.0076348i,0.058006+0.019268i,-0.097128-0.012674i,-0.035769+0.11705i,0.00010215-0.1515i,-0.013862+0.49457i,-0.035159+0.26296i,0.02483-0.0759i,-0.066268-0.22018i
0.013638-0.033364i,-0.022604+0.034757i,0.047828-0.03515i,-0.71383-0.012183i,-0.061271-0.04762i,0.027267+0.04368i,-0.0074859-0.0032262i,0.017701+0.17448i,0.0071238-0.18135i,-0.11809+0.50037i,-0.1288+0.22237i,0.078772-0.048749i,-0.16405-0.227i
0.048303-0.0067797i,-0.051988+0.014391i,0.055156-0.037827i,0.0083051+0.69961i,0.085931+0.076273i,-0.10194-0.046479i,0.16624+0.029061i,-0.044248-0.073494i,0.14324+0.083528i,-0.46972-0.22834i,-0.20965-0.09334i,0.039344+0.0078486i,-0.05348+0.26182i
-0.00072497+0.018033i,0.0091098-0.021201i,-0.033263+0.028963i,0.67374-0.2192i,0.070627-0.0023832i,-0.035373-0.002705i,0.002724-0.034578i,-0.045834-0.12377i,0.0012217+0.12534i,0.1793-0.40711i,0.22517-0.25101i,-0.14472+0.1135i,0.33367-0.24758i
