0.019224+0.033333i,-0.024647-0.033797i,0.03384+0.032773i,-0.052972-0.026822i,0.11749-0.0054481i,0.72343-0.53507i,-0.10455+0.17035i,0.10288-0.26114i,0.074526-0.13748i,-0.037931-0.014976i,0.12411+0.042121i,0.063212-0.075793i,-0.017978+0.093112i
-0.028389-0.032926i,0.034291+0.033052i,-0.043928-0.031436i,0.063242+0.024218i,-0.12613+0.012438i,-0.67321+0.58651i,0.07982-0.17922i,-0.065302+0.27132i,-0.064996+0.14432i,0.048069+0.013008i,-0.13938-0.038822i,-0.043676+0.075362i,-0.0058528-0.090919i
0.038381+0.02991i,-0.044773-0.029548i,0.05485+0.027176i,-0.0743-0.018525i,0.13531-0.022578i,0.61837-0.63147i,-0.053343+0.18317i,0.025723-0.27477i,0.055892-0.15245i,-0.059177-0.0070981i,0.15565+0.030626i,0.023111-0.069142i,0.030567+0.081889i
-0.048306-0.023746i,0.055149+0.022722i,-0.065607-0.019407i,0.085083+0.0091352i,-0.14389+0.036487i,-0.56034+0.66901i,0.026529-0.18144i,0.014158+0.27065i,-0.046095+0.16261i,0.069726-0.0035781i,-0.17117-0.016656i,-0.0035165+0.056209i,-0.053864-0.065068i
0.057017+0.014256i,-0.064211-0.012395i,0.074922+0.0079475i,-0.09424+0.0041327i,0.15045-0.054329i,0.50091-0.69871i,-0.00113+0.17378i,-0.052275-0.25872i,0.034102-0.17497i,-0.07777+0.0192i,0.18374-0.0032457i,-0.01263-0.036446i,0.072932+0.040408i
-0.063276-0.0017281i,0.070655-0.0011244i,-0.08142+0.0068684i,0.10032-0.020912i,-0.15345+0.07569i,-0.44197+0.72077i,-0.020985-0.16064i,0.08644+0.23949i,-0.018288+0.18898i,0.081241-0.039132i,-0.19104+0.028338i,0.022727+0.010732i,-0.084841-0.0089828i
0.065948-0.013056i,-0.07329+0.017009i,0.083847-0.024162i,-0.10199+0.040262i,0.15151-0.099543i,0.38531-0.73607i,0.038106+0.14313i,-0.11464-0.21423i,-0.0027819-0.20336i,-0.078286+0.061888i,0.19097-0.056941i,-0.024464+0.019014i,0.087011-0.026973i
-0.064204+0.028883i,0.071245-0.033977i,-0.081283+0.042571i,0.098294-0.060732i,-0.14362+0.12433i,-0.33229+0.74608i,-0.048966-0.12304i,0.13537+0.18492i,0.030033+0.21614i,0.067622-0.085237i,-0.18211+0.086556i,0.016244-0.049973i,-0.077679+0.064225i
0.05768-0.044234i,-0.064139+0.050426i,0.073335-0.060403i,-0.088815+0.080521i,0.12936-0.14811i,0.28366-0.75269i,0.052969+0.10254i,-0.14781-0.154i,-0.063623-0.22495i,-0.048818+0.10645i,0.16394-0.11414i,0.002477+0.078724i,0.056277-0.098878i
-0.046584+0.057486i,0.052194-0.064646i,-0.060238+0.075847i,0.07381-0.097704i,-0.10903+0.16882i,-0.23945+0.75793i,-0.050335-0.083972i,0.15208+0.1241i,0.10279+0.2273i,0.022466-0.12264i,-0.1371+0.13647i,-0.030978-0.10167i,-0.023662+0.12686i
0.031713-0.067133i,-0.036253+0.075048i,0.042886-0.087224i,-0.054233+0.1105i,0.083653-0.18456i,0.19887-0.76372i,0.042127+0.069522i,-0.14919-0.097699i,-0.1458-0.22093i,0.0097828+0.13118i,0.10338-0.15063i,0.067249+0.11554i,-0.017855-0.14446i
0.0083458-0.023023i,-0.0046413+0.024729i,-0.00292-0.026585i,0.021325+0.028198i,-0.091727-0.026163i,-0.90459+0.12995i,0.19175-0.076305i,-0.24269+0.14331i,-0.12571+0.094205i,0.0088507+0.003454i,-0.07194-0.041298i,-0.12976+0.019527i,0.10471-0.039591i
-0.003929+0.025125i,-0.0001098-0.026756i,0.0080518+0.028311i,-0.026859-0.028929i,0.097378+0.022345i,0.88844-0.19717i,-0.18005+0.094416i,0.222-0.16975i,0.11613-0.10816i,-0.01203-0.0046881i,0.078727+0.044431i,0.12108-0.028373i,-0.093168+0.05029i
-0.00027657-0.026989i,0.004642+0.028507i,-0.012944-0.029718i,0.03209+0.029289i,-0.10242-0.01812i,-0.86784+0.263i,0.16728-0.11145i,-0.19917+0.19394i,-0.10418+0.12051i,0.014587+0.0058722i,-0.085265-0.047043i,-0.11229+0.036316i,0.081202-0.059604i
0.0046479+0.028879i,-0.0093458-0.03026i,0.018002+0.031094i,-0.037437-0.029583i,0.10729+0.013826i,0.84244-0.32743i,-0.15301+0.12763i,0.17388-0.216i,0.090679-0.13062i,-0.01717-0.0074747i,0.092182+0.04958i,0.10278-0.043793i,-0.068209+0.067959i
-0.0096645-0.030772i,0.014719+0.031985i,-0.023742-0.032408i,0.043437+0.029778i,-0.11256-0.0094452i,-0.81173+0.39008i,0.1367-0.1428i,-0.14573+0.23565i,-0.07663+0.13834i,0.020599+0.0094695i,-0.10029-0.051965i,-0.09174+0.050681i,0.053388-0.075177i
0.015753+0.032331i,-0.021203-0.033331i,0.030621+0.033289i,-0.050563-0.029485i,0.1187+0.0045838i,0.77536-0.45019i,-0.11791+0.1564i,0.1144-0.25221i,0.062967-0.14402i,-0.0256-0.011304i,0.11028+0.053561i,0.078485-0.056258i,-0.036087+0.080438i
-0.023137-0.032961i,0.029025+0.033673i,-0.038872-0.033082i,0.059052+0.028018i,-0.12597+0.0014639i,-0.73323+0.50667i,0.096466-0.16751i,-0.079916+0.26463i,-0.050318+0.14846i,0.032546+0.011992i,-0.12247-0.053274i,-0.062759+0.059317i,0.016128-0.082408i
0.031721+0.031924i,-0.038081-0.032239i,0.048374+0.030977i,-0.068768-0.024529i,0.13423-0.0095724i,0.68568-0.55828i,-0.072664+0.17504i,0.042776-0.27172i,0.038815-0.15272i,-0.041262-0.010315i,0.13657+0.049774i,0.044963-0.058411i,0.0059379+0.07951i
-0.04104-0.028496i,0.047873+0.028271i,-0.058598-0.026183i,0.079144+0.018193i,-0.14286+0.02059i,-0.63358+0.60382i,0.047318-0.17797i,-0.0040477+0.27234i,-0.02801+0.15783i,0.050941+0.0051009i,-0.1516-0.041799i,-0.026251+0.052181i,-0.028736-0.070286i
