0.046298+0.017392i,-0.056847-0.021823i,0.073565+0.028822i,-0.10397-0.04147i,0.17589+0.071079i,-0.54484-0.22115i,-0.53869-0.21598i,0.19112+0.073184i,-0.12589-0.04263i,0.1092+0.02613i,-0.14611-0.0035825i,-0.36042+0.13572i,0.061205-0.042143i
-0.016745-0.046085i,0.020215+0.056978i,-0.025772-0.07423i,0.036017+0.10555i,-0.060648-0.17936i,0.18918+0.55646i,0.19212+0.54774i,-0.072398-0.19113i,0.053548+0.12061i,-0.056876-0.094112i,0.10457+0.094725i,0.38435+0.08475i,-0.082103+0.0074746i
-0.024421+0.042055i,0.03051-0.05178i,-0.040066+0.067254i,0.057209-0.095501i,-0.097059+0.1625i,0.29775-0.50692i,0.28488-0.50518i,-0.093373+0.18066i,0.050932-0.11962i,-0.025298+0.10322i,-0.018174-0.13298i,-0.27949-0.29047i,0.080199+0.041421i
0.04816-0.0076801i,-0.059635+0.0093365i,0.077762-0.01213i,-0.11056+0.017553i,0.18758-0.031233i,-0.57962+0.10549i,-0.56584+0.11906i,0.19428-0.051056i,-0.11859+0.043522i,0.085474-0.052832i,-0.064957+0.10691i,0.068689+0.40712i,-0.044715-0.085843i
-0.037159-0.03336i,0.046023+0.041147i,-0.060136-0.053248i,0.085898+0.07475i,-0.14696-0.12428i,0.4605+0.37193i,0.45999+0.3446i,-0.16416-0.10787i,0.10747+0.054217i,-0.08975-0.0202i,0.10592-0.040523i,0.1811-0.38154i,-0.017562+0.10023i
0.019241+0.04755i,-0.023274-0.058681i,0.029463+0.07625i,-0.040303-0.10804i,0.064867+0.18275i,-0.18564-0.56359i,-0.16032-0.55048i,0.043711+0.19015i,-0.014181-0.11833i,-0.010416+0.090302i,0.071226-0.086176i,0.42357-0.047945i,-0.10968-0.019952i
0.023077-0.044953i,-0.028769+0.055131i,0.037887-0.07112i,-0.054661+0.099892i,0.094789-0.1671i,-0.30278+0.50764i,-0.31135+0.48502i,0.11637-0.16163i,-0.082366+0.093956i,0.079182-0.060679i,-0.12275+0.025154i,-0.36342-0.19731i,0.068116+0.077207i
-0.048511+0.01167i,0.059805-0.013937i,-0.0777+0.017405i,0.11022-0.023444i,-0.187+0.037024i,0.58009-0.10315i,0.57253-0.084994i,-0.20142+0.020608i,0.1296-0.0028974i,-0.10584-0.014458i,0.12043+0.063606i,0.18283+0.35738i,-0.0077981-0.093892i
0.039993+0.028875i,-0.048971-0.035954i,0.063146+0.047235i,-0.088804-0.067874i,0.14911+0.11698i,-0.45648-0.37035i,-0.44233-0.37604i,0.15127+0.13811i,-0.092556-0.095481i,0.067777+0.089072i,-0.054641-0.13363i,0.045723-0.38799i,-0.042271+0.07407i
-0.0040215-0.04863i,0.0044434+0.060027i,-0.0050718-0.078093i,0.0061251+0.11095i,-0.0083609-0.1886i,0.018418+0.58666i,0.0084533+0.58158i,0.0021106-0.20623i,-0.0070295+0.13482i,0.015392-0.1141i,-0.046635+0.14246i,-0.24529+0.29285i,0.067183-0.036856i
-0.034079+0.034266i,0.042483-0.041999i,-0.055803+0.05424i,0.08003-0.076469i,-0.13733+0.12893i,0.43136-0.39741i,0.43243-0.38971i,-0.15567+0.13621i,0.10436-0.087053i,-0.092968+0.070527i,0.131-0.079036i,0.359-0.11205i,-0.069323+0.00096795i
0.04783+0.0037843i,-0.059205-0.0051221i,0.077209+0.0072358i,-0.10991-0.011063i,0.18711+0.02007i,-0.58265-0.066119i,-0.5781-0.068985i,0.20529+0.025689i,-0.1348-0.017809i,0.11578+0.016729i,-0.15162-0.026757i,-0.36068-0.096734i,0.059619+0.025993i
-0.027925-0.038767i,0.034363+0.04827i,-0.044553-0.0633i,0.063072+0.090566i,-0.10685-0.15486i,0.33145+0.48376i,0.32833+0.48065i,-0.1169-0.17042i,0.077614+0.11118i,-0.068565-0.094037i,0.095586+0.11963i,0.25437+0.2746i,-0.045406-0.046934i
-0.011445+0.046283i,0.014417-0.057371i,-0.019115+0.074918i,0.02761-0.10678i,-0.047522+0.182i,0.14858-0.56729i,0.1461-0.56335i,-0.050052+0.20024i,0.029824-0.13168i,-0.01955+0.11354i,0.0075246-0.15057i,-0.06952-0.37218i,0.024921+0.06582i
0.042578-0.02124i,-0.052895+0.026226i,0.06923-0.034134i,-0.098878+0.048548i,0.16877-0.082758i,-0.52598+0.2591i,-0.52043+0.2605i,0.18291-0.095186i,-0.11688+0.066281i,0.093794-0.064071i,-0.10268+0.10523i,-0.14403+0.35798i,0.0076019-0.078578i
-0.043602-0.018647i,0.054081+0.023221i,-0.070711-0.030442i,0.10098+0.043474i,-0.1726-0.073941i,0.53999+0.22809i,0.53866+0.22038i,-0.19239-0.073419i,0.12697+0.041215i,-0.10919-0.022021i,0.14145-0.011185i,0.32322-0.22757i,-0.051152+0.072879i
0.013742+0.045207i,-0.017054-0.056153i,0.022385+0.073495i,-0.032254-0.10498i,0.056055+0.17915i,-0.1805-0.55777i,-0.18898-0.55017i,0.073148+0.19176i,-0.055175-0.11993i,0.059181+0.090622i,-0.10911-0.07979i,-0.40582+0.01178i,0.091342-0.038053i
0.026059-0.039457i,-0.032297+0.049113i,0.042072-0.064494i,-0.059585+0.09259i,0.10024-0.15923i,-0.30474+0.50161i,-0.28849+0.50396i,0.093149-0.18107i,-0.049304+0.11961i,0.021531-0.10131i,0.030291+0.12288i,0.35199+0.22364i,-0.10519-0.022247i
