-0.0054338+0.01902i,0.011632-0.018692i,-0.022892+0.017372i,0.047711-0.013414i,-0.13568-0.0022618i,-0.82444-0.1664i,0.14779+0.042192i,-0.095816-0.018954i,0.072463-0.053124i,-0.12808-0.4554i,0.10686+0.19288i,-0.20804-0.26492i,-0.00092715+0.088409i
0.019427+0.007588i,-0.020846-0.013674i,0.023209+0.024824i,-0.028393-0.049483i,0.048168+0.13667i,0.1907+0.80847i,-0.032091-0.13917i,0.03715+0.081682i,-0.10319-0.033363i,-0.3486+0.24302i,0.078551-0.11682i,0.074174+0.061137i,0.18507-0.17252i
-0.023252-0.0076157i,0.019186+0.011006i,-0.010994-0.017333i,-0.0082343+0.031772i,0.078424-0.085051i,0.68949-0.51782i,-0.14493+0.10052i,0.093852-0.081426i,-0.030835+0.12346i,0.38053+0.24607i,-0.18542-0.059937i,0.1586+0.17175i,-0.20054+0.12064i
0.018825-0.010956i,-0.015479+0.01475i,0.008055-0.021248i,0.010884+0.034675i,-0.085492-0.079008i,-0.7811-0.37512i,0.18311+0.045304i,-0.15225-0.0043911i,0.18016-0.070411i,0.040817-0.37773i,0.11063+0.13323i,-0.25302-0.18347i,0.046511+0.019975i
-0.017495+0.015042i,0.020354-0.02128i,-0.024211+0.032583i,0.02996-0.057524i,-0.04163+0.14628i,-0.018611+0.82706i,-0.04208-0.14294i,0.07069+0.093878i,-0.15577-0.087107i,-0.32862+0.0077524i,0.022119-0.039356i,0.14226-0.017307i,0.078763-0.12681i
0.019308+0.013398i,-0.026297-0.012975i,0.038312+0.011241i,-0.063529-0.0054647i,0.14937-0.021182i,0.76442-0.31815i,-0.11538+0.09287i,0.060734-0.095541i,-0.027472+0.16561i,0.11079+0.33204i,-0.051228-0.064957i,0.041532+0.16319i,-0.030536+0.14159i
-0.0088502-0.049191i,0.012339+0.056417i,-0.019004-0.067778i,0.034616+0.089632i,-0.093753-0.15845i,-0.58853-0.53695i,0.1199+0.034545i,-0.10291+0.017059i,0.1612-0.072489i,0.2738-0.16488i,-0.010336+0.020494i,-0.14261-0.05402i,-0.094182-0.095406i
-0.014972+0.0083794i,0.022423-0.0087757i,-0.035385+0.009065i,0.062688-0.0088846i,-0.15503+0.0059229i,-0.81405-0.053533i,0.11898+0.023199i,-0.047323-0.023504i,-0.046928+0.025581i,-0.44748-0.049077i,0.15883+0.062052i,-0.10666-0.20227i,0.15489-0.066828i
-0.034957+0.01172i,0.034369-0.018364i,-0.032065+0.030078i,0.02491-0.055068i,0.0054142+0.14058i,0.35099+0.76409i,-0.10316-0.11689i,0.083981+0.051544i,-0.062421+0.034967i,0.21901+0.44387i,-0.15599-0.18332i,0.26596+0.24276i,-0.055248-0.072134i
0.049945+0.0053511i,-0.0575-0.0012285i,0.069275-0.0066365i,-0.091583+0.024477i,0.16026-0.088296i,0.5175-0.60379i,-0.022369+0.11216i,-0.036301-0.065893i,0.11899+0.010843i,0.26989-0.30283i,-0.013512+0.13288i,-0.14662-0.06652i,-0.091056+0.19444i
-0.0023179-0.035496i,0.0087318+0.04023i,-0.020224-0.047217i,0.045031+0.05966i,-0.13058-0.095603i,-0.7783-0.24297i,0.12907-0.0079614i,-0.065178+0.041155i,-0.012867-0.094857i,-0.39192-0.19052i,0.15824+0.033334i,-0.12933-0.13966i,0.14421-0.16469i
-0.056694+0.039607i,0.05986-0.048551i,-0.063273+0.06318i,0.0666-0.092342i,-0.067175+0.18673i,0.13099+0.77947i,-0.10062-0.082292i,0.112+0.0083004i,-0.14426+0.08613i,0.01896+0.38567i,-0.12858-0.11159i,0.27476+0.14233i,-0.061077+0.020121i
0.066384-0.0087595i,-0.076598+0.011862i,0.092263-0.017365i,-0.12138+0.02925i,0.20923-0.070677i,0.64558-0.37656i,-0.018626+0.060189i,-0.057112-0.034737i,0.16224+0.022103i,0.31473-0.037343i,0.0034783+0.015161i,-0.17306+0.057619i,-0.029365+0.093498i
-0.025542-0.032662i,0.032273+0.039106i,-0.043365-0.049289i,0.065677+0.068821i,-0.13874-0.12955i,-0.6184-0.47263i,0.075633+0.032781i,-0.024237+0.020699i,-0.021697-0.10545i,-0.14945-0.35762i,0.037647+0.1001i,-0.026148-0.19728i,-0.010849-0.10641i
-0.019063+0.053554i,0.022307-0.062815i,-0.027276+0.077597i,0.036358-0.10644i,-0.062655+0.19839i,-0.17841+0.7378i,-0.0042789-0.062771i,0.035669-0.0055815i,-0.10358+0.078042i,-0.27042+0.2319i,0.032971-0.041474i,0.12052+0.060989i,0.1276+0.075832i
0.031839-0.040154i,-0.040557+0.042945i,0.054925-0.046686i,-0.083707+0.052743i,0.17703-0.069204i,0.77777-0.087838i,-0.088471-0.024355i,0.015239+0.028753i,0.074733+3.4462e-05i,0.33754+0.27185i,-0.069943-0.1465i,-0.073199+0.23017i,-0.12725-0.06654i
-0.018298+0.0049021i,0.022714+0.00028389i,-0.030042-0.0099438i,0.045016+0.031433i,-0.095289-0.10711i,-0.44005-0.70479i,0.061619+0.12551i,-0.034472-0.066949i,0.038003-0.016639i,0.07594-0.47823i,-0.019926+0.22068i,-0.0052738-0.33286i,-0.059423+0.060867i
0.0053894+0.022578i,-0.0017176-0.02845i,-0.0050314+0.038703i,0.01972-0.060619i,-0.069899+0.13664i,-0.45191+0.68371i,0.073809-0.1038i,-0.026893+0.057785i,-0.05891-0.03479i,-0.43353+0.087888i,0.13722-0.057941i,0.018807+0.09354i,0.25456-0.017045i
-0.0090974-0.021997i,0.0033509+0.021476i,0.007544-0.020022i,-0.032197+0.016194i,0.12056-0.0021564i,0.84284+0.14621i,-0.16132-0.038392i,0.10304+0.016548i,-0.054148+0.050298i,0.26248+0.41035i,-0.13112-0.17036i,0.030668+0.24752i,-0.23665-0.044814i
