-0.070507+0.043558i,0.076706-0.041497i,-0.087568+0.035229i,0.11602-0.012311i,-0.62634-0.47481i,-0.024459-0.15766i,0.00051468+0.13924i,-0.33842-0.43881i,-0.1214+0.048995i,0.11032-0.07883i,0.00012401+0.034803i,0.070882-0.077681i,-0.065586+0.085049i
0.03129-0.0012039i,-0.038517+0.0056471i,0.051628-0.014525i,-0.0853+0.039489i,0.64304-0.4863i,0.046669-0.075349i,0.02222+0.032535i,-0.48074+0.13025i,-0.070627+0.057957i,0.020346-0.042263i,-0.12617+0.047003i,0.039179-0.034458i,-0.034751+0.020376i
-0.019537-0.013979i,0.027372+0.013963i,-0.042313-0.01305i,0.082667+0.0080096i,-0.78294+0.12418i,-0.092154+0.054871i,0.018718-0.062947i,0.33297+0.38973i,0.078978+0.027386i,-0.037318+0.00084724i,0.14018+0.028538i,-0.055995-0.0037358i,0.043056+0.01339i
0.0067282+0.014778i,-0.012915-0.018112i,0.025484+0.02394i,-0.06189-0.037955i,0.74005+0.24782i,0.12279+0.0032126i,-0.077249+0.037627i,0.2064-0.48871i,-0.011156-0.071368i,0.0089236+0.028421i,-0.099837-0.094923i,0.034116+0.039394i,-0.016631-0.040416i
-0.0026159-0.010582i,0.0064683+0.015634i,-0.014686-0.025571i,0.039941+0.053362i,-0.54065-0.55312i,-0.10693-0.077063i,0.092145+0.033945i,-0.54304+0.046134i,-0.052476+0.030958i,0.026213-0.012461i,0.035201+0.11489i,0.0033683-0.040167i,-0.020037+0.030888i
0.0025805+0.01151i,-0.0042729-0.017384i,0.0077626+0.029382i,-0.018347-0.064702i,0.22952+0.73858i,0.044951+0.1252i,-0.042103-0.092244i,0.30281+0.45992i,0.038791+0.039855i,-0.021908-0.026886i,0.008738-0.096225i,-0.017154+0.013298i,0.026934+0.0051108i
0.0030506-0.015446i,-0.0036993+0.021812i,0.0053139-0.034526i,-0.011007+0.071318i,0.1366-0.76666i,0.029514-0.12382i,-0.031834+0.089886i,0.25516-0.48115i,0.03402-0.051254i,-0.020548+0.037231i,-0.02064+0.079529i,-0.0022319+0.0018633i,0.0047191-0.024321i
-0.013912+0.01199i,0.017555-0.017965i,-0.024965+0.029413i,0.047118-0.060792i,-0.4827+0.6195i,-0.081207+0.084961i,0.071049-0.038799i,-0.52701+0.0031568i,-0.07463-0.018758i,0.050455+0.0028488i,0.032913-0.08836i,0.020969+0.019907i,-0.037111-0.0022031i
0.018052+0.001665i,-0.024654+0.0020501i,0.037398-0.0090258i,-0.072928+0.027075i,0.72122-0.31892i,0.10228-0.037338i,-0.059914-0.0085989i,0.2319+0.44419i,0.021298+0.09418i,-0.023841-0.054096i,-0.079973+0.097856i,0.000757-0.055971i,0.023435+0.051774i
-0.0072222-0.013151i,0.015091+0.013452i,-0.030181-0.01389i,0.071083+0.015429i,-0.78268-0.061638i,-0.1073-0.0056989i,0.034429+0.020275i,0.28337-0.37862i,0.083419-0.080973i,-0.042714+0.054844i,0.14966-0.059693i,-0.059279+0.055137i,0.038349-0.067063i
-0.0089301+0.0074254i,0.0025305-0.01181i,0.010167+0.019996i,-0.045158-0.041762i,0.6523+0.41748i,0.10341+0.052754i,-0.031731-0.016385i,-0.43903-0.10139i,-0.13059-0.027404i,0.081641+0.010657i,-0.18365-0.039886i,0.10143+0.0061259i,-0.094117+0.015084i
0.0092372+0.012846i,-0.0062507-0.0062712i,-0.00023647-0.0067139i,0.019586+0.042344i,-0.37845-0.65873i,-0.074798-0.10824i,0.041949+0.035621i,0.07282+0.43557i,0.058692+0.13403i,-0.042058-0.087211i,0.13247+0.15122i,-0.074246-0.089443i,0.082393+0.071555i
