0.0072783-0.038095i,-0.0071181+0.045112i,0.0065817-0.055545i,-0.0051901+0.072883i,0.0013946-0.10814i,0.013924+0.22582i,0.13912+0.85314i,-0.033631-0.10325i,0.0082205-0.0095908i,-0.096632-0.15631i,0.067907+0.053521i,-0.083721-0.016901i,0.27074-0.15408i
-0.034698-0.0015153i,0.040673+0.0026538i,-0.049612-0.0045922i,0.064675+0.0082889i,-0.096077-0.01693i,0.20503+0.049978i,0.84061+0.28787i,-0.13881-0.067359i,0.11827+0.073411i,0.097106+0.029929i,-0.037558+0.01501i,0.054312-0.034137i,-0.24734+0.19008i
-0.016309+0.018263i,0.020491-0.022499i,-0.026961+0.029028i,0.038138-0.040312i,-0.061696+0.064255i,0.14258-0.14775i,0.60907-0.64593i,-0.086574+0.10505i,-0.0047858-0.050576i,-0.19168+0.072943i,0.10148-0.052216i,-0.10338+0.057163i,0.28991-0.20073i
0.0073614+0.024516i,-0.0094129-0.029733i,0.012627+0.037775i,-0.018248-0.051728i,0.030218+0.081618i,-0.071586-0.18759i,-0.31295-0.84103i,0.044559+0.15225i,0.0090243-0.12886i,0.12766-0.05324i,-0.070755-0.00019635i,0.079588-0.007455i,-0.27258+0.14942i
0.033889+0.0097217i,-0.040377-0.011084i,0.050114+0.012961i,-0.066501-0.015775i,0.10041+0.020725i,-0.21626-0.034068i,-0.8736-0.058697i,0.13025-0.019744i,-0.065758+0.076215i,0.024059+0.13321i,-0.0083287-0.042524i,-0.019944+0.036672i,0.22681-0.16459i
0.0060181-0.033942i,-0.008154+0.039993i,0.011684-0.04898i,-0.018247+0.063915i,0.033252-0.094321i,-0.089569+0.19605i,-0.478+0.73903i,0.10419-0.089847i,-0.10316-0.0079596i,-0.024385-0.14507i,-0.030617+0.059934i,0.056958-0.049157i,-0.26326+0.16716i
-0.0030497-0.016377i,0.0050079+0.020853i,-0.0083714-0.027875i,0.014847+0.040236i,-0.030135-0.066957i,0.089176+0.16193i,0.519+0.75593i,-0.1239-0.13735i,0.14062+0.098828i,0.06902-0.016582i,0.021631+0.032249i,-0.054092-0.023108i,0.26627-0.10059i
-0.043588-0.00084007i,0.051026+0.00015332i,-0.061952+0.00098953i,0.079879-0.0030699i,-0.11586+0.0075863i,0.23453-0.023152i,0.84466-0.11863i,-0.092366+0.017726i,-0.023233+0.0084458i,-0.14429+0.06435i,0.03588-0.028788i,0.0087034+0.015921i,-0.23227+0.10231i
0.0041411+0.028272i,-0.0034031-0.033668i,0.0019165+0.041914i,0.0012819-0.056125i,-0.0094343+0.086437i,0.042492-0.19382i,0.3059-0.85043i,-0.080956+0.15283i,0.090514-0.13477i,0.01973-0.069533i,0.033302+0.0012803i,-0.061492+0.010552i,0.27834-0.12094i
0.023318+0.017741i,-0.029229-0.019842i,0.038361+0.022709i,-0.054138-0.027022i,0.087439+0.034845i,-0.20227-0.057947i,-0.87239-0.13416i,0.13041-0.0050779i,-0.020934+0.035162i,0.20383+0.015707i,-0.11043+0.023025i,0.10428-0.052059i,-0.21578+0.27257i
0.020369-0.032057i,-0.023866+0.037428i,0.029126-0.045405i,-0.038058+0.058716i,0.056899-0.086121i,-0.12332+0.17977i,-0.52509+0.70562i,0.095348-0.10535i,-0.10187+0.068125i,-0.11317+0.033723i,0.041805-0.019536i,-0.048223+0.04273i,0.17314-0.25837i
-0.017206-0.022381i,0.020204+0.027764i,-0.024677-0.036044i,0.03219+0.050284i,-0.047796-0.080238i,0.10179+0.18326i,0.41601+0.7798i,-0.068834-0.11473i,0.061482+0.016509i,0.06093-0.18173i,-0.027078+0.099267i,0.038988-0.10036i,-0.17086+0.29898i
-0.023015+0.0025095i,0.02847-0.0031396i,-0.036972+0.0040571i,0.051863-0.0055004i,-0.083943+0.0081097i,0.19767-0.014962i,0.89901-0.025764i,-0.15819-0.015026i,0.10301+0.06608i,-0.054617+0.14574i,0.061474-0.060768i,-0.071966+0.064628i,0.20536-0.26123i
-0.021522+0.02326i,0.025005-0.028423i,-0.030017+0.036378i,0.038024-0.050167i,-0.053566+0.079637i,0.10277-0.1838i,0.32766-0.82433i,-0.020733+0.14818i,-0.044619-0.12276i,-0.092862-0.04918i,0.014004+0.0023889i,0.016921-0.016371i,-0.16704+0.21413i
0.032722+0.024466i,-0.03809-0.029126i,0.045878+0.036191i,-0.058456-0.048228i,0.083209+0.07348i,-0.16291-0.16092i,-0.54545-0.6685i,0.044726+0.10374i,0.051713-0.050506i,0.1375+0.056403i,-0.029152-0.04236i,-0.0090345+0.050916i,0.16827-0.23826i
0.012342-0.006799i,-0.016717+0.0079959i,0.023827-0.0098742i,-0.036802+0.013233i,0.065906-0.020746i,-0.17309+0.048836i,-0.89173+0.23753i,0.18494-0.051765i,-0.16934+0.063243i,-0.027199+0.053383i,-0.047684-0.0026554i,0.072168-0.018593i,-0.22791+0.20786i
0.020356-0.032795i,-0.022671+0.039468i,0.025806-0.049498i,-0.030476+0.066341i,0.038854-0.10092i,-0.0633+0.21723i,-0.13794+0.8535i,-0.0086027-0.10993i,0.041882-0.0029357i,0.01887-0.16994i,0.02386+0.065737i,-0.050341-0.028992i,0.2143-0.1652i
-0.03459-0.011144i,0.040119+0.01391i,-0.048267-0.018318i,0.061754+0.026257i,-0.089299-0.043974i,0.18273+0.10951i,0.69634+0.54902i,-0.099114-0.11707i,0.059468+0.12822i,0.032502+0.084009i,-0.022506+0.00098608i,0.044001-0.025449i,-0.21151+0.20739i
-0.01971+0.0080236i,0.024922-0.01022i,-0.033012+0.013724i,0.047053-0.020025i,-0.076828+0.034022i,0.17995-0.085388i,0.78818-0.4261i,-0.12074+0.088118i,0.024082-0.087544i,-0.18406-0.03728i,0.10426-0.012533i,-0.10428+0.031728i,0.2631-0.2076i
-0.00050972+0.031161i,0.00012559-0.037323i,0.00049064+0.046673i,-0.0015415-0.062597i,0.0035636+0.09597i,-0.0090515-0.21139i,-0.02232-0.88342i,-0.011404+0.13908i,0.061565-0.077399i,0.15232+0.033362i,-0.067572-0.02396i,0.070874+0.003657i,-0.23598+0.17104i
0.025928+0.014577i,-0.031259-0.017468i,0.039397+0.021787i,-0.053373-0.028986i,0.082997+0.043626i,-0.18705-0.092261i,-0.81687-0.34914i,0.14321+0.039114i,-0.1191+0.021194i,-0.061091+0.11448i,0.011974-0.05017i,-0.025738+0.049364i,0.20018-0.20731i
0.021628-0.026232i,-0.026117+0.030989i,0.033003-0.03803i,-0.044871+0.049667i,0.070027-0.073153i,-0.15782+0.15074i,-0.67822+0.55198i,0.10925-0.058794i,-0.053936-0.033309i,0.071346-0.16048i,-0.053949+0.063852i,0.062924-0.055063i,-0.23525+0.2037i
-0.0030449-0.017973i,0.0039486+0.02287i,-0.0054742-0.030609i,0.0083871+0.04436i,-0.015262-0.074457i,0.04197+0.18307i,0.23537+0.88271i,-0.05628-0.17224i,0.067088+0.15439i,0.038885+0.053248i,0.0096364+0.013219i,-0.032367-0.0091979i,0.21508-0.14244i
-0.03684-0.015608i,0.04379+0.017516i,-0.054133-0.020181i,0.071329+0.024321i,-0.1063-0.032163i,0.22292+0.056577i,0.84534+0.15556i,-0.10239-0.0041548i,-0.010539-0.028803i,-0.15708-0.047113i,0.052575+0.010454i,-0.013259-0.011718i,-0.18274+0.15452i
-0.0068504+0.029854i,0.0093346-0.034921i,-0.013432+0.042506i,0.021042-0.055283i,-0.038469+0.081875i,0.10418-0.17371i,0.56296-0.70075i,-0.1268+0.10905i,0.13941-0.070459i,0.074533-0.0059222i,0.013988-0.0099861i,-0.042171+0.015975i,0.23422-0.15467i
0.015057+0.025079i,-0.019825-0.029179i,0.027347+0.035118i,-0.040613-0.044679i,0.069196+0.0634i,-0.16975-0.12322i,-0.78683-0.40359i,0.13264+0.028884i,-0.054091+0.049939i,0.14218+0.117i,-0.092501-0.022012i,0.09195-0.017037i,-0.17223+0.25447i
0.030303-0.026771i,-0.035354+0.031123i,0.042911-0.037487i,-0.055664+0.047889i,0.082343-0.068719i,-0.17545+0.1374i,-0.72377+0.48903i,0.12299-0.054001i,-0.11419-0.0055481i,-0.10546-0.055395i,0.037133+0.0046721i,-0.04326+0.02752i,0.13516-0.26007i
-0.0079391-0.022357i,0.0088238+0.027963i,-0.010103-0.036668i,0.012236+0.051824i,-0.0168-0.084191i,0.033853+0.19763i,0.14708+0.88344i,-0.035874-0.14706i,0.071803+0.071898i,0.13888-0.11071i,-0.058465+0.081002i,0.058545-0.090554i,-0.15149+0.3077i
-0.025978-0.00935i,0.031773+0.010879i,-0.040666-0.013196i,0.055955+0.017185i,-0.088176-0.025779i,0.19955+0.05696i,0.84912+0.25668i,-0.1294-0.053545i,0.03962+0.074256i,-0.14338+0.10752i,0.082944-0.043582i,-0.07949+0.053665i,0.1734-0.27011i
-0.022772+0.017896i,0.027197-0.02182i,-0.033833+0.02791i,0.044986-0.038568i,-0.068015+0.061642i,0.14645-0.14453i,0.58895-0.67087i,-0.086148+0.13032i,0.038506-0.13176i,-0.027705-0.099957i,0.0099905+0.023226i,0.0085007-0.032347i,-0.11973+0.2453i
0.017573+0.033107i,-0.020659-0.039315i,0.025151+0.048625i,-0.032418-0.064263i,0.046712+0.09648i,-0.092571-0.20557i,-0.31258-0.80669i,0.024857+0.10726i,0.034617-0.009305i,0.090158+0.14951i,-0.019831-0.072608i,-0.0059038+0.070685i,0.12483-0.27147i
0.01826-0.0037923i,-0.023098+0.0037284i,0.030795-0.0035027i,-0.044584+0.0029069i,0.075062-0.0012478i,-0.1862-0.0057194i,-0.91332-0.068541i,0.18342+0.021018i,-0.17129-0.026235i,-0.056135-0.018435i,-0.027983+0.0053345i,0.048917-0.018308i,-0.1687+0.22328i
0.027664-0.022358i,-0.031939+0.027712i,0.038088-0.035916i,-0.047925+0.049979i,0.067073-0.079473i,-0.12797+0.18084i,-0.40712+0.76931i,0.026313-0.11634i,0.054104+0.03662i,0.11824-0.10949i,-0.022771+0.052956i,-0.0094175-0.024699i,0.14261-0.18466i
-0.029295-0.023056i,0.033766+0.027524i,-0.040249-0.034402i,0.05075+0.046361i,-0.071586-0.072137i,0.13973+0.16448i,0.4783+0.74204i,-0.048052-0.13975i,-0.013375+0.13324i,-0.057878+0.076436i,0.0044642+0.00087788i,0.021908-0.02275i,-0.1582+0.22289i
-0.019676+0.00054872i,0.025117-0.0007735i,-0.03364+0.0012493i,0.048591-0.0023663i,-0.080735+0.0055517i,0.19401-0.020205i,0.88905-0.15293i,-0.15236+0.050852i,0.079664-0.091548i,-0.1079-0.1159i,0.081451+0.023453i,-0.086002+0.0049201i,0.2148-0.20625i
