-0.00045049+0.0024657i,-6.3528e-05-0.0032925i,0.00094306+0.0045645i,-0.0025842-0.0067152i,0.0061775+0.011005i,-0.017545-0.023426i,0.6404+0.65422i,0.034567+0.025136i,-0.021704-0.005162i,-0.021353-0.3658i,-0.023136-0.030053i,0.025864+0.021658i,-0.037249-0.017417i
0.00022705-0.0006353i,-0.00086973+0.0011161i,0.0019213-0.0019281i,-0.0038028+0.003443i,0.007757-0.0068033i,-0.019765+0.01771i,0.65371-0.63587i,0.031044-0.036621i,-0.014003+0.029655i,-0.22241-0.31316i,-0.029537+0.0032777i,0.025695-0.012175i,-0.02677+0.02495i
-0.0020045+0.0064248i,0.0027959-0.0070736i,-0.0040694+0.0079283i,0.0063456-0.009157i,-0.011209+0.011241i,0.02652-0.016476i,-0.87708+0.26126i,-0.047156+0.0020771i,0.036435+0.0034489i,-0.39702+0.046807i,0.00025693+0.014562i,-0.0094223-0.017821i,0.020366+0.026053i
0.01101+0.00073415i,-0.012574-0.00085678i,0.014783+0.0010571i,-0.018227-0.0014325i,0.024616+0.0023018i,-0.042122-0.0053463i,0.90921+0.1942i,0.02507+0.013268i,-0.0024053-0.015645i,-0.14658+0.35584i,-0.00030236+0.01392i,-0.009178-0.0060467i,0.022779-0.00086031i
-0.0008549-0.0099869i,0.001587+0.011256i,-0.0027597-0.013006i,0.0048202+0.01565i,-0.009086-0.020364i,0.021894+0.032673i,-0.69376-0.61281i,-0.031818-0.0096274i,0.013971-0.0098184i,0.21076+0.3118i,0.027287+0.0035978i,-0.022729+0.0088869i,0.021492-0.024575i
-0.0030289+0.00048496i,0.0030576-0.0012605i,-0.0029742+0.0025383i,0.0026113-0.004849i,-0.0014245+0.0097804i,-0.0034245-0.025073i,0.31802+0.85244i,0.027266+0.043587i,-0.0285-0.026235i,0.39527-0.016221i,0.0010368-0.024493i,0.010326+0.025323i,-0.023943-0.030434i
-0.0048336-0.0047594i,0.0051193+0.005737i,-0.0054085-0.0072356i,0.0056523+0.009799i,-0.0056701-0.015072i,0.0044574+0.031182i,0.10907-0.90892i,0.017206-0.043797i,-0.019072+0.031531i,0.17549-0.36111i,-0.0098336-0.0036379i,0.017496-0.0037572i,-0.029039+0.012059i
-0.0058459+0.011506i,0.0066113-0.013016i,-0.007709+0.015108i,0.0094651-0.01829i,-0.012857+0.024015i,0.022686-0.039128i,-0.54093+0.75994i,-0.020741+0.014247i,0.013082+0.0085788i,-0.21734-0.32082i,-0.010411-0.0035677i,0.0073811-0.0097895i,-0.0051251+0.026064i
0.011602+0.00059144i,-0.013199-0.00029876i,0.015434-0.00021715i,-0.018868+0.0012013i,0.025111-0.0033912i,-0.041765+0.010394i,0.84157-0.39624i,0.017662-0.021982i,0.007902+0.014069i,-0.38415+0.010282i,-0.0091213+0.014511i,-0.0054103-0.015474i,0.022024+0.018726i
-0.0010023-0.0036192i,0.0017767+0.0040028i,-0.0030595-0.0044899i,0.0054021+0.0051392i,-0.010473-0.0060829i,0.02649+0.0077943i,-0.91074-0.048272i,-0.048847+0.0087694i,0.034247-0.016609i,-0.19906+0.34638i,0.015335+0.0069577i,-0.021164+0.003466i,0.030178-0.015468i
0.0048659-0.0049429i,-0.0057976+0.0049613i,0.0072014-0.0047963i,-0.009557+0.0041928i,0.014304-0.0023399i,-0.028507-0.0049013i,0.78863+0.45778i,0.035252+0.037496i,-0.022664-0.035378i,0.2129+0.34812i,0.00063566-0.010699i,0.0031063+0.022025i,-0.0080061-0.036595i
-0.0095211+0.0016519i,0.010854-0.0019743i,-0.012766+0.0024338i,0.015812-0.0031457i,-0.021656+0.0044269i,0.038418-0.0077098i,-0.91255+0.15403i,-0.033956+0.0016956i,0.019689+0.0059277i,-0.30881-0.22776i,-0.016977-0.0089432i,0.015239+0.0014018i,-0.019206+0.0096634i
0.0064776+0.0065637i,-0.0077423-0.0072157i,0.0096107+0.0080854i,-0.012656-0.0093613i,0.018547+0.011595i,-0.035231-0.017458i,0.87487+0.30506i,0.029661+0.0055415i,-0.0050654-0.00083144i,-0.34207+0.13917i,-0.0235+0.017768i,0.012969-0.019194i,-0.0026156+0.027414i
-0.00091149-0.0027317i,0.0014685+0.0035985i,-0.0023789-0.0049264i,0.0040209+0.0071633i,-0.0075346-0.011611i,0.018516+0.024459i,-0.61927-0.67638i,-0.032133-0.025753i,0.02113+0.0052907i,-0.071002+0.36437i,0.013989+0.029567i,-0.017742-0.020785i,0.027917+0.015167i
