0.0074505+0.018181i,-0.012706-0.021058i,0.021286+0.025081i,-0.036989-0.031218i,0.072414+0.042246i,-0.20706-0.073184i,-0.8432-0.092944i,0.21281-0.052004i,-0.26897+0.35232i,0.034017+0.14021i,-0.053178-0.063246i,0.1736-0.05251i,-0.066745-0.023639i
-0.0072698-0.040214i,0.0073199+0.048578i,-0.0072228-0.061133i,0.006829+0.082175i,-0.005734-0.12533i,0.0019651+0.27313i,-0.021073+0.7719i,1.8205e-05-0.08123i,0.075532-0.29137i,0.054425-0.20694i,-0.033826+0.11409i,0.1804-0.077315i,-0.041513+0.07017i
-0.050214-0.034852i,0.058585+0.039134i,-0.070832-0.045298i,0.090838+0.055235i,-0.13087-0.074967i,0.26499+0.14106i,0.6693+0.32305i,-0.04656-0.017617i,-0.30834-0.12793i,-0.16965-0.055997i,0.080297+0.020238i,0.054577+0.10094i,0.024752-0.0090191i
-0.036318+0.010762i,0.042756-0.015719i,-0.052363+0.023373i,0.068422-0.036475i,-0.10145+0.063662i,0.21573-0.15661i,0.60634-0.49034i,-0.074677+0.052057i,-0.13064+0.26401i,-0.10807+0.19404i,0.057009-0.11318i,-0.035968+0.2413i,0.028382-0.092918i
0.025461+0.031867i,-0.028891-0.039175i,0.033657+0.050344i,-0.040937-0.06944i,0.05422+0.10951i,-0.093211-0.25043i,-0.13694-0.77244i,-0.043535+0.1133i,0.31303+0.13812i,0.11559+0.15595i,-0.046194-0.093517i,-0.075201+0.18585i,-0.0060518-0.072688i
0.06058+0.0040215i,-0.069423-0.0043632i,0.08233+0.0050727i,-0.10344-0.0067482i,0.14594+0.011648i,-0.29025-0.035621i,-0.73414-0.19393i,0.065819+0.084252i,0.21964-0.29648i,0.12573-0.099644i,-0.055191+0.043374i,-0.12079-0.015617i,-0.0015437+0.022419i
0.02701-0.025759i,-0.0307+0.032089i,0.036315-0.041731i,-0.046074+0.058104i,0.067474-0.092073i,-0.14873+0.20942i,-0.4988+0.62398i,0.12465-0.073892i,-0.27879-0.22397i,-0.076817-0.17609i,0.033207+0.10109i,-0.1452-0.17072i,0.034433+0.07546i
-0.031109-0.012791i,0.036021+0.017407i,-0.043135-0.024926i,0.054577+0.038708i,-0.076927-0.069975i,0.14903+0.18996i,0.32945+0.75633i,0.0063663-0.19564i,-0.30626+0.29932i,-0.14128+0.0044887i,0.063573+0.025854i,-0.064543-0.18026i,0.029573+0.046114i
-0.046959+0.021614i,0.053976-0.023897i,-0.064517+0.026881i,0.082451-0.031032i,-0.12057+0.03747i,0.25946-0.050896i,0.80264+0.019576i,-0.16096-0.081533i,0.21807+0.37146i,0.029352+0.11995i,-0.010634-0.04495i,0.095774-0.10203i,-0.023716-0.0027443i
-0.014413+0.027505i,0.016101-0.03327i,-0.018745+0.042247i,0.023594-0.05802i,-0.035114+0.092431i,0.083432-0.21997i,0.33877-0.76046i,-0.11892+0.16664i,0.39146-0.19293i,0.13707+0.015494i,-0.063181-0.027387i,0.19363-0.0085i,-0.053701-0.022623i
