-0.0037967-0.052618i,0.0044858+0.056151i,-0.0050845-0.060966i,0.0047332+0.069973i,0.28447-0.92519i,0.017776+0.056284i,-0.02176-0.071749i,-0.04727-0.046923i,-0.019436-0.063758i,0.035371+0.07286i,-0.12336-0.064358i,-0.035055+0.11022i,0.0019297-0.11687i
0.037224+0.037251i,-0.039364-0.039346i,0.041533+0.042384i,-0.042808-0.049069i,-0.2742+0.89034i,-0.061219-0.027484i,0.068698+0.030419i,0.032247-0.13118i,0.065186+0.050226i,-0.082994-0.043024i,0.15212-0.014825i,-0.045423-0.10884i,0.077568+0.094834i
-0.051242-0.0008626i,0.053397+0.0011358i,-0.055379-0.0021436i,0.056022+0.0065168i,0.29156-0.83343i,0.071343-0.020011i,-0.068688+0.019959i,0.19224+0.061683i,-0.099728+0.01205i,0.10521-0.026629i,-0.12944+0.11309i,0.10732+0.048203i,-0.12615-0.017918i
0.036979-0.037458i,-0.038324+0.038589i,0.039385-0.039005i,-0.038903+0.036016i,-0.33869+0.77707i,-0.053236+0.062754i,0.051102-0.05603i,-0.1085+0.19393i,0.064757-0.089845i,-0.063764+0.10097i,0.037087-0.18566i,-0.10709+0.038663i,0.10592-0.074683i
0.0010979+0.057825i,-0.001326-0.059958i,0.0019315+0.061536i,-0.0041937-0.059978i,0.41171-0.73749i,0.0092051-0.090568i,-0.012097+0.089839i,-0.13242-0.12011i,0.016388+0.10759i,-0.020338-0.12066i,0.088665+0.17846i,0.050251-0.094849i,-0.028883+0.12476i
-0.043782-0.045453i,0.046265+0.047238i,-0.04948-0.048522i,0.054926+0.046853i,-0.49421+0.73559i,0.049633+0.078246i,-0.057169-0.083627i,0.057188-0.057442i,-0.071209-0.068643i,0.087366+0.080071i,-0.17866-0.091482i,0.018236+0.0977i,-0.05375-0.11034i
0.062793+0.0071815i,-0.066513-0.0069045i,0.071202+0.0058012i,-0.078543-0.0013146i,0.54756-0.76897i,-0.078051-0.023064i,0.093392+0.016871i,0.037683-0.053289i,0.089829+0.020667i,-0.11178-0.015378i,0.19514-0.027823i,-0.064738-0.063455i,0.10135+0.05258i
-0.048796+0.027638i,0.051768-0.029872i,-0.05553+0.033198i,0.061716-0.040217i,-0.55566+0.79686i,0.054872-0.026424i,-0.060149+0.040137i,0.13407+0.082358i,-0.086037+0.031891i,0.095563-0.049361i,-0.13908+0.13192i,0.078409+0.015153i,-0.10135+0.015111i
-0.042942+0.033799i,0.04457-0.034721i,-0.045847+0.035026i,0.04522-0.03225i,0.41383-0.73724i,0.061981-0.059413i,-0.056835+0.059193i,0.20253-0.034251i,-0.089182+0.064706i,0.091564-0.080281i,-0.10243+0.17072i,0.10413-0.0098544i,-0.11972+0.045597i
0.0085303-0.054417i,-0.0087804+0.056184i,0.0085791-0.057341i,-0.0063304+0.055393i,-0.48102+0.69692i,-0.021855+0.081834i,0.019844-0.075914i,-0.016773+0.2258i,0.01933-0.1136i,-0.0167+0.12514i,-0.022926-0.20595i,-0.066904+0.072192i,0.060191-0.11056i
0.028169+0.047454i,-0.029565-0.049388i,0.03155+0.050854i,-0.035769-0.049515i,0.55123-0.68413i,-0.02241-0.078596i,0.02204+0.080372i,-0.16678-0.050889i,0.054821+0.087188i,-0.061985-0.10054i,0.13931+0.14797i,0.0090458-0.086022i,0.017763+0.11443i
