-0.028998+0.0063591i,0.032245-0.0066668i,-0.036708+0.0069464i,0.043483-0.0070778i,-0.055759+0.0065957i,0.088629-0.0027788i,-0.96475-0.17393i,-0.054189-0.047748i,0.028076+0.082554i,0.084958+0.14844i,-0.052849-0.038317i,0.071444+0.038293i,0.021412+0.086914i
-0.0080479+0.027867i,0.0073485-0.030494i,-0.0059879+0.034033i,0.0032614-0.039313i,0.0028835+0.048812i,-0.021999-0.074545i,0.56296+0.78488i,0.063145+0.049519i,-0.020343-0.054173i,0.1304-0.18114i,-0.076947+0.086018i,0.085799-0.097503i,0.023002-0.0072909i
0.03356-0.0068096i,-0.036128+0.008664i,0.039403-0.011479i,-0.043976+0.016189i,0.051609-0.025513i,-0.070943+0.052181i,0.58856-0.78104i,0.020923-0.063773i,-0.037099+0.021679i,-0.21978-0.06264i,0.11497+0.034061i,-0.13056-0.034966i,-0.005125-0.030299i
-0.024548-0.028679i,0.027595+0.030493i,-0.031841-0.032684i,0.038371+0.035535i,-0.050329-0.039915i,0.082482+0.050278i,-0.93355-0.32724i,-0.052842-0.0033304i,0.014544+0.031682i,0.017114+0.22603i,-0.019568-0.11673i,0.028117+0.13131i,-0.042201+0.01922i
-0.013187+0.036935i,0.013591-0.040713i,-0.013942+0.045796i,0.014176-0.053317i,-0.01417+0.066554i,0.013754-0.10096i,-0.023897+0.99669i,0.0008666+0.042277i,0.039307-0.011823i,0.19841-0.08922i,-0.09006+0.064372i,0.098391-0.080525i,0.049109+0.04053i
0.037927-0.0069118i,-0.041616+0.008178i,0.046535-0.0099531i,-0.053751+0.012653i,0.066363-0.017394i,-0.099084+0.028971i,0.95727-0.28709i,0.041223+0.0012178i,-0.02299-0.051007i,-0.13804-0.14838i,0.0853+0.04757i,-0.10452-0.046494i,0.013255-0.078983i
-0.023052-0.027457i,0.025702+0.030235i,-0.029254-0.033996i,0.034436+0.039625i,-0.043253-0.049744i,0.064693+0.076967i,-0.56742-0.81877i,-0.0016484-0.049952i,-0.053484+0.04745i,-0.093524+0.15969i,0.0081174-0.08035i,0.0023372+0.097377i,-0.087503+0.035319i
-0.011377+0.029268i,0.012783-0.03262i,-0.014803+0.037134i,0.018058-0.043772i,-0.024438+0.055239i,0.043299-0.083888i,-0.60095+0.78482i,-0.059893+0.016705i,0.074631+0.0381i,0.16231+0.04738i,-0.060704+0.014526i,0.071627-0.031659i,0.085266+0.062221i
0.025574-0.0023885i,-0.028904+0.0023194i,0.033499-0.0020454i,-0.04046+0.0012685i,0.052933+0.0010032i,-0.085502-0.01001i,0.92028+0.33315i,0.041912+0.059738i,0.0067563-0.090768i,0.012639-0.15881i,0.01925+0.04249i,-0.03936-0.045779i,0.0087765-0.1125i
-0.0088617-0.01735i,0.0097535+0.020217i,-0.010826-0.024318i,0.012125+0.03079i,-0.013641-0.042929i,0.014719+0.07622i,0.045238-0.96885i,0.043413-0.067077i,-0.087753+0.029287i,-0.15722+0.017945i,0.03588-0.016464i,-0.031941+0.036528i,-0.10347+0.051512i
-0.011233+0.0088061i,0.013571-0.010265i,-0.01702+0.01224i,0.022653-0.015109i,-0.033621+0.019845i,0.064911-0.03043i,-0.93477+0.23857i,-0.080584-0.014438i,0.056767+0.068053i,0.053811+0.15536i,-0.019308-0.038957i,0.037612+0.028779i,0.094173+0.063192i
0.0074577+0.010404i,-0.0093316-0.012342i,0.012008+0.015207i,-0.016168-0.019915i,0.023675+0.029194i,-0.042801-0.05618i,0.50018+0.82498i,0.01629+0.07707i,0.042414-0.068864i,0.14325-0.097648i,-0.0404+0.033476i,0.02444-0.048974i,0.011458-0.10588i
-0.001869-0.012779i,0.0027477+0.014475i,-0.0041689-0.017012i,0.0066872+0.021276i,-0.011912-0.029968i,0.027301+0.056358i,-0.4487-0.84108i,-0.036983-0.086119i,-0.0010323+0.091494i,-0.11175+0.13827i,0.059524-0.034205i,-0.074557+0.022315i,-0.080578-0.039331i
-0.0088194+0.0017485i,0.010034-0.0029057i,-0.011876+0.0048152i,0.015024-0.0082697i,-0.021579+0.015612i,0.041988-0.037923i,-0.66545+0.67362i,-0.075295+0.066144i,0.091736-0.030506i,0.15945+0.077788i,-0.04519-0.055743i,0.03928+0.073622i,0.0027509+0.076055i
-0.00071581+0.0095642i,-0.00050168-0.010486i,0.0026014+0.011798i,-0.0065415-0.013916i,0.015185+0.018151i,-0.042228-0.031184i,0.8344+0.43735i,0.092535+0.049299i,-0.062565-0.07533i,0.041194-0.17964i,-0.051025+0.064527i,0.069591-0.066037i,0.052951-0.027435i
0.014887-9.8816e-05i,-0.015725+0.0014615i,0.016711-0.0037817i,-0.017964+0.0081011i,0.019892-0.01755i,-0.024804+0.047208i,0.1773-0.92441i,0.010673-0.10517i,-0.044013+0.083044i,-0.19678+0.0060556i,0.090042+0.033846i,-0.099327-0.049573i,-0.030803-0.029883i
-0.0076249-0.019949i,0.0094009+0.020662i,-0.012171-0.021268i,0.016974+0.021574i,-0.026936-0.021044i,0.057166+0.017398i,-0.94058+0.097639i,-0.097412+0.029966i,0.084308+0.0084111i,0.067196+0.20042i,-0.0018733-0.10952i,-0.0071343+0.12465i,-0.020547+0.023826i
-0.018574+0.020097i,0.0188-0.022444i,-0.01863+0.025769i,0.017571-0.031021i,-0.014175+0.041044i,0.0017561-0.069615i,0.37105+0.8797i,0.059675+0.071956i,-0.018174-0.068655i,0.17852-0.13501i,-0.10835+0.050274i,0.12505-0.050397i,0.022978+0.024406i
0.031183+0.0078088i,-0.033895-0.0070527i,0.037477+0.0055871i,-0.042701-0.002646i,0.051867-0.0040154i,-0.076161+0.024909i,0.73939-0.62267i,0.039775-0.070867i,-0.047219+0.028119i,-0.19341-0.1265i,0.095181+0.079782i,-0.10391-0.092815i,0.027885-0.037157i
-0.0095207-0.033929i,0.011548+0.036412i,-0.014582-0.039531i,0.0196+0.043798i,-0.029455-0.050746i,0.057552+0.067935i,-0.8268-0.52339i,-0.065722-0.013623i,0.024238+0.032889i,-0.052225+0.22555i,0.030586-0.1191i,-0.035925+0.13286i,-0.060203-0.015195i
-0.02537+0.0261i,0.026888-0.029228i,-0.028682+0.033571i,0.030943-0.04023i,-0.034276+0.052411i,0.041895-0.085196i,-0.24717+0.95621i,-0.00038168+0.054278i,0.031995-0.01763i,0.22324-0.026751i,-0.11368+0.021864i,0.12732-0.025353i,0.018845+0.074426i
0.034491+0.0086598i,-0.038093-0.0087037i,0.042964+0.0085865i,-0.050223-0.0081497i,0.063122+0.0069992i,-0.097042-0.0036841i,0.99015-0.060651i,0.047471-0.0026097i,-0.020023-0.040389i,-0.092062-0.19141i,0.059433+0.084657i,-0.069736-0.093599i,0.062873-0.063106i
