0.038916-0.037016i,-0.043957+0.040462i,0.051509-0.045264i,-0.064393+0.052804i,0.091964-0.06754i,-0.1916+0.11621i,-0.78185+0.32803i,0.15234-0.029541i,-0.20987+0.019463i,-0.17416+0.052541i,0.07169-0.042571i,-0.18931+0.063046i,0.013629-0.051762i
0.030718-0.0093606i,-0.033279+0.005298i,0.036543+0.0016654i,-0.040971-0.014818i,0.047709+0.044823i,-0.061821-0.15562i,0.0056774-0.90868i,-0.076738+0.1984i,0.20144-0.14573i,0.15865+0.11307i,-0.033404-0.11924i,0.018665+0.25645i,0.011219-0.098587i
-0.02734+0.0096601i,0.029826-0.0054716i,-0.033024-0.0016701i,0.037405+0.015083i,-0.044141-0.045485i,0.058417+0.15692i,-0.00045406+0.90602i,0.072829-0.19291i,-0.19772+0.12572i,-0.16093-0.1372i,0.033999+0.12821i,0.0096654-0.26177i,-0.0084518+0.10174i
0.023108-0.0084249i,-0.025452+0.0040186i,0.028504+0.0034061i,-0.03274-0.017199i,0.039349+0.048139i,-0.053618-0.16039i,-0.0064252-0.90101i,-0.066772+0.18483i,0.1899-0.10289i,0.16219+0.1576i,-0.035776-0.13271i,-0.035227+0.25606i,0.0023059-0.098956i
-0.017899+0.0059361i,0.02002-0.001244i,-0.022829-0.0065397i,0.026801+0.0208i,-0.033129-0.052375i,0.047187+0.16555i,0.015238+0.89417i,0.058236-0.1748i,-0.17761+0.078221i,-0.16304-0.17472i,0.039545+0.13365i,0.055776-0.24088i,0.0087245+0.092292i
0.0031132+0.046788i,-0.0011519-0.051873i,-0.0022825+0.059292i,0.008956-0.071616i,-0.024754+0.097328i,0.085862-0.1883i,0.5302-0.68858i,-0.13509+0.11764i,0.17309-0.157i,0.064711-0.15146i,0.00080787+0.068629i,0.11602-0.087241i,0.0603+0.04659i
-0.0096494-0.046902i,0.0080861+0.052106i,-0.005121-0.059687i,-0.00098062+0.072241i,0.016042-0.098301i,-0.076062+0.18988i,-0.53989+0.68717i,0.14852-0.11351i,-0.19809+0.1431i,-0.072008+0.13607i,-0.0055916-0.062665i,-0.11082+0.057321i,-0.072892-0.055276i
0.015006+0.046472i,-0.013755-0.051785i,0.011159+0.059522i,-0.0055083-0.072303i,-0.0089652+0.098718i,0.068089-0.19093i,0.54749-0.6862i,-0.15941+0.10961i,0.21904-0.12821i,0.079868-0.11782i,0.0081801+0.055124i,0.10345-0.026025i,0.078365+0.062967i
-0.019094-0.045184i,0.018066+0.050568i,-0.015734-0.058419i,0.010409+0.071388i,0.0036315-0.098117i,-0.06206+0.19093i,-0.55286+0.68629i,0.16759-0.10667i,-0.23565+0.11335i,-0.088146+0.096063i,-0.008585-0.044953i,-0.093992-0.0070595i,-0.076846-0.066786i
0.02201+0.042803i,-0.021128-0.048199i,0.018967+0.0561i,-0.013858-0.069182i,0.00011289+0.096146i,0.057799-0.18948i,0.5562-0.68791i,-0.17328+0.10526i,0.24807-0.099353i,0.096217-0.070359i,0.0074401+0.031371i,0.081902+0.042032i,0.069856+0.064406i
-0.023992-0.039252i,0.023196+0.04459i,-0.02114-0.052462i,0.016165+0.06557i,-0.0026133-0.09267i,-0.054918+0.18642i,-0.55796+0.69125i,0.17699-0.10566i,-0.25682+0.08672i,-0.10313+0.040729i,-0.0058177-0.014133i,-0.066255-0.078365i,-0.059911-0.054623i
0.025333+0.034644i,-0.024592-0.039859i,0.022602+0.047629i,-0.017713-0.060679i,0.004295+0.087818i,0.052941-0.18187i,0.55867-0.6962i,-0.17933+0.10775i,0.26254-0.075528i,0.10782-0.0077476i,0.0049371-0.0063283i,0.046109+0.11475i,0.049897+0.037675i
-0.026298-0.029283i,0.0256+0.034329i,-0.023663-0.041943i,0.018845+0.054875i,-0.0055375-0.081986i,-0.051445+0.17626i,-0.5588+0.70228i,0.18084-0.11107i,-0.26585+0.065422i,-0.1094-0.027478i,-0.0058393+0.028926i,-0.020924-0.14917i,-0.042374-0.015224i
0.027042+0.02361i,-0.02639-0.028469i,0.024509+0.035909i,-0.019764-0.048701i,0.0065645+0.07576i,0.050179-0.17023i,0.55865-0.70881i,-0.18184+0.11485i,0.26708-0.055734i,0.10736+0.063444i,0.009104-0.05209i,-0.009091+0.17915i,0.03896-0.010004i
-0.027566-0.018124i,0.026962+0.022813i,-0.025141-0.030097i,0.020472+0.042772i,-0.0073784-0.069805i,-0.04914+0.1645i,-0.55821+0.71499i,0.18234-0.11824i,-0.26625+0.045667i,-0.10171-0.098492i,-0.01468+0.074065i,0.042794-0.20216i,-0.039963+0.034809i
0.02771+0.013286i,-0.027146-0.017851i,0.025372+0.025034i,-0.020762-0.037655i,0.0077526+0.064737i,0.048582-0.15975i,0.5572-0.7201i,-0.18201+0.12045i,0.26299-0.034513i,0.093006+0.13108i,0.021872-0.093246i,-0.078131+0.21613i,0.044327-0.056233i
-0.027196-0.0094338i,0.026637+0.013943i,-0.024872-0.021103i,0.020275+0.03376i,-0.007287-0.060995i,-0.048951+0.15645i,-0.55511+0.72361i,0.18027-0.12094i,-0.25666+0.021851i,-0.082209-0.16003i,-0.029481+0.10849i,0.11238-0.21981i,-0.049925+0.072194i
0.025693+0.0067242i,-0.02508-0.011252i,0.023252+0.018473i,-0.018583-0.031263i,0.0055101+0.058764i,0.050775-0.15478i,0.55135-0.72534i,-0.17644+0.11953i,0.24653-0.0076809i,0.070496+0.18469i,0.03608-0.11933i,-0.14256+0.21309i,0.05411-0.08192i
-0.022915-0.005115i,0.022162+0.0097284i,-0.020173-0.017085i,0.015312+0.030093i,-0.0020058-0.057954i,-0.05452+0.15464i,-0.54539+0.72544i,0.16992-0.11645i,-0.23196-0.0075487i,-0.05899-0.20501i,-0.040341+0.126i,0.16594-0.19704i,-0.054398+0.08606i
0.018699+0.0043952i,-0.017707-0.0091393i,0.01544+0.016682i,-0.010246-0.02996i,-0.0034675+0.058238i,0.060459-0.15565i,0.53692-0.72436i,-0.16037+0.11225i,0.21264+0.023013i,0.04851+0.22143i,0.041351-0.12938i,-0.18048+0.17371i,0.04912-0.086452i
